,item,value
3159,xiii,1
3160,kampar,2
3161,juara,1
3162,bngettttt,1
3163,siiii,1
3164,inti,2
3165,ahsudahlah,1
3166,pabji,1
3167,tenggelam,2
3168,kucing,1
3169,threeindonesia,2
3170,lemotnyaaa,1
3171,kebun,1
3172,nempelin,1
3173,jendela,1
3174,leled,1
3175,nggabejus,1
3176,resolusi,1
3177,aminnn,1
3178,nyeselin,1
3179,kntol,1
3180,aneh,3
3181,duhh,1
3182,restar,1
3183,skrng,2
3184,kaltara,1
3185,bgtt,1
3186,nyungsep,1
3187,woyy,3
3188,maxtrem,1
3189,moncongloe,1
3190,pasuk,1
3191,keberpa,1
3192,kampret,2
3193,angus,1
3194,primetime,1
3195,jembut,1
3196,silit,2
3197,lemottt,1
3198,pagar,2
3199,dewa,2
3200,rsbhaktimulia,1
3201,kawasan,1
3202,ngeulti,1
3203,kasihan,2
3204,hitam,2
3205,gmana,2
3206,naikin,1
3207,tensi,1
3208,yeee,1
3209,keluar,1
3210,nang,5
3211,ngomongin,1
3212,bhs,1
3213,tanggungjawab,1
3214,karawaci,1
3215,akaaaal,1
3216,nganggu,1
3217,driver,1
3218,fullbar,1
3219,ngelapor,1
3220,i,2
3221,r,1
3222,ngulang,1
3223,pen,1
3224,bales,1
3225,scroll,2
3226,timeline,2
3227,masyallah,1
3228,akuin,1
3229,cocok,1
3230,paraah,1
3231,oo,1
3232,peak,1
3233,kbs,1
3234,campur,1
3235,aduk,1
3236,nyalahin,2
3237,jobstreet,1
3238,kalibrr,1
3239,rejected,1
3240,nangiss,1
3241,gapapalah,1
3242,ngedrakor,1
3243,ngehibur,1
3244,indragiri,1
3245,kemuning,1
3246,mampus,2
3247,drama,1
3248,korea,1
3249,direstuin,1
3250,nyuruh,2
3251,gawe,1
3252,ngelag,4
3253,masak,2
3254,gimanq,1
3255,konon,2
3256,bohong,1
3257,hoax,1
3258,ngapusi,1
3259,mahgrib,1
3260,template,1
3261,copotpasang,1
3262,rau,1
3263,lumpuh,3
3264,ijin,1
3265,komodo,1
3266,sumbawa,2
3267,aduuuh,1
3268,fase,1
3269,benci,1
3270,akdjsjsjsjsjs,1
3271,sksksks,1
3272,leg,1
3273,anjingggggg,1
3274,sebenernya,2
3275,aim,2
3276,sumatera,14
3277,ngersain,1
3278,sebel,2
3279,ooyyyy,1
3280,tuhaaannnnn,1
3281,sampis,1
3282,beginiiiiii,1
3283,harapin,1
3284,kb,5
3285,daun,1
3286,oey,1
3287,apasih,1
3288,elaah,1
3289,unduh,1
3290,diplosok,1
3291,tanda,1
3292,amburadul,1
3293,afk,4
3294,silah,1
3295,primitif,1
3296,sinyale,1
3297,bosoookkk,1
3298,apaneeee,1
3299,enggk,1
3300,manteeep,1
3301,niih,1
3302,turunin,1
3303,nii,2
3304,asmat,1
3305,bangke,3
3306,kntl,1
3307,korona,1
3308,jringn,1
3309,bulak,1
3310,mnding,1
3311,srius,1
3312,apes,1
3313,huft,3
3314,ta,1
3315,signalmu,1
3316,unl,1
3317,tolitoli,1
3318,whole,1
3319,heart,1
3320,deli,2
3321,serdang,2
3322,hapal,1
3323,klasik,2
3324,eskalasi,1
3325,belakanngan,1
3326,jrgn,1
3327,gendong,1
3328,gajah,1
3329,lambaaaaat,1
3330,muat,1
3331,yaampun,1
3332,guee,1
3333,elahh,1
3334,pliss,1
3335,lingat,1
3336,laru,1
3337,kenapaa,2
3338,fucek,1
3339,anyingg,1
3340,kurun,1
3341,puspitek,1
3342,tangsel,2
3343,yahh,2
3344,melulu,2
3345,ihhh,1
3346,siih,1
3347,siangg,1
3348,helow,1
3349,teteh,2
3350,aa,1
3351,muk,1
3352,nct,1
3353,moms,2
3354,menangies,1
3355,pppp,2
3356,tiri,1
3357,hikd,2
3358,pek,1
3359,asliii,1
3360,ppp,1
3361,euyyy,1
3362,napa,3
3363,atuh,3
3364,pis,2
3365,teams,1
3366,nyaaa,1
3367,tulung,1
3368,atuhlah,1
3369,taiiii,1
3370,oversuply,1
3371,bapu,1
3372,antum,1
3373,yihaaaa,1
3374,bulan,1
3375,kpn,1
3376,dkt,1
3377,rmh,1
3378,ajah,1
3379,politeknik,1
3380,morowali,1
3381,rsrp,1
3382,sinr,1
3383,dl,1
3384,optimasi,1
3385,site,1
3386,gmna,4
3387,petujuk,1
3388,bantuannyaaa,1
3389,jatisampurna,1
3390,ada,2
3391,tenayan,1
3392,umrah,1
3393,heiiii,1
3394,garis,1
3395,gilak,1
3396,bangettt,2
3397,saking,1
3398,cepetnya,1
3399,cik,1
3400,kotabaru,1
3401,tasikmalaya,1
3402,wae,1
3403,mpot,1
3404,hararese,1
3405,telkomselbutut,1
3406,serangmekar,1
3407,ciparay,1
3408,twitterknapa,1
3409,suadah,1
3410,komplit,1
3411,alibi,1
3412,servis,1
3413,babelan,2
3414,balen,1
3415,ngentod,1
3416,turuttdk,1
3417,hangs,1
3418,perfume,1
3419,mubazir,1
3420,ngangkat,1
3421,ohiya,1
3422,minimal,1
3423,delapan,1
3424,dpr,2
3425,ngeselin,4
3426,gamasook,1
3427,men,1
3428,bbrapa,3
3429,nyokap,2
3430,ealah,1
3431,adek,1
3432,kla,1
3433,kisruh,1
3434,lai,1
3435,sampai,1
3436,sen,1
3437,limo,1
3438,deras,1
3439,syahwat,1
3440,isu,1
3441,hangat,2
3442,lini,1
3443,konten,1
3444,anarkisme,1
3445,rantai,1
3446,hasut,1
3447,platejohnny,1
3448,aduankonten,1
3449,mangkelin,1
3450,johnnn,1
3451,nugas,1
3452,yaampunnn,1
3453,pls,3
3454,pahayu,1
3455,mekarsari,1
3456,momohon,1
3457,laksa,1
3458,astagfirullah,2
3459,amsyong,1
3460,napas,1
3461,lemotttt,1
3462,kapok,1
3463,alangkeh,1
3464,leletnyoooooo,1
3465,nian,1
3466,anjimm,1
3467,console,1
3468,dog,1
3469,gaiisss,1
3470,india,1
3471,ashar,1
3472,ngegame,1
3473,jugak,1
3474,thx,1
3475,matlam,1
3476,hadeuhhh,1
3477,striming,1
3478,bola,2
3479,teriak,1
3480,bala,1
3481,basi,1
3482,sgini,2
3483,kacrut,2
3484,kambing,1
3485,statment,1
3486,ampuun,1
3487,gaissss,1
3488,tolonng,1
3489,heyy,2
3490,dengerin,1
3491,tdi,1
3492,niscaya,1
3493,ngirit,1
3494,sawanganthepark,1
3495,lulu,1
3496,supermarket,1
3497,bangettttt,1
3498,bagusin,1
3499,peras,1
3500,ngajak,4
3501,gelud,1
3502,direfresh,1
3503,lemoot,1
3504,negara,2
3505,subsidi,2
3506,not,1
3507,include,1
3508,heh,2
3509,janc,1
3510,bebasngeluh,1
3511,odading,3
3512,sekaliii,1
3513,terooss,1
3514,aahh,1
3515,elaaaaah,1
3516,bangsatttt,1
3517,nye,3
3518,parahx,1
3519,sobb,1
3520,ampunnnn,1
3521,daahhh,1
3522,jringan,1
3523,myorbit,2
3524,istigfar,1
3525,otomatisin,1
3526,lakuin,1
3527,lemoyy,1
3528,bauukkk,1
3529,ngerugiin,1
3530,govlok,1
3531,dota,1
3532,sihhhh,1
3533,limpah,1
3534,hadoohh,1
3535,asyik,1
3536,mantan,1
3537,cairr,1
3538,bozzzz,1
3539,ngekill,1
3540,dc,2
3541,po,1
3542,bozzzzzz,1
3543,one,2
3544,literally,1
3545,aq,1
3546,ampunn,2
3547,tolongggggg,1
3548,donggg,1
3549,myorbitid,1
3550,roboh,1
3551,hufffff,1
3552,telkolsel,1
3553,blom,1
3554,banyuates,1
3555,sampang,1
3556,jatim,1
3557,among,1
3558,us,1
3559,kemkoinfo,1
3560,kwarganegaraan,1
3561,jgan,1
3562,sii,1
3563,tolongg,1
3564,perbaikin,1
3565,buset,2
3566,weee,1
3567,upto,1
3568,mbps,1
3569,kya,2
3570,dtk,1
3571,ajibbb,1
3572,semvak,1
3573,elite,1
3574,tara,1
3575,tetangga,4
3576,mbambet,1
3577,begimana,1
3578,thetering,1
3579,knpa,2
3580,bingits,1
3581,hadeuh,1
3582,pontianak,1
3583,donlot,1
3584,ueue,1
3585,sihh,1
3586,slang,1
3587,tolng,1
3588,settingan,1
3589,terimakasii,1
3590,aih,1
3591,tooong,1
3592,jkt,1
3593,way,1
3594,kandis,1
3595,ky,1
3596,digoa,1
3597,tambun,1
3598,ajg,3
3599,paska,1
3600,malawi,1
3601,zz,1
3602,dana,1
3603,akutu,1
3604,kue,1
3605,mang,2
3606,awak,2
3607,gataunya,1
3608,huhuuu,1
3609,kocak,1
3610,ambyarrr,1
3611,same,1
3612,lagieror,1
3613,signalnya,1
3614,ngebucin,1
3615,exo,1
3616,benarin,1
3617,gondok,1
3618,lalod,2
3619,edan,1
3620,yukk,2
3621,isp,1
3622,daerahh,1
3623,daerahhnya,1
3624,dimanjain,1
3625,dikembangin,1
3626,soalnyaa,1
3627,weyy,1
3628,kampang,1
3629,darah,1
3630,liverpool,1
3631,gadapet,2
3632,notip,1
3633,ranca,1
3634,panongan,1
3635,parahhhh,1
3636,sampaaaaahhhhh,1
3637,android,1
3638,xiomi,1
3639,redmi,1
3640,a,1
3641,nokia,1
3642,waktu,1
3643,dtengah,1
3644,pickup,1
3645,jawabin,1
3646,koe,1
3647,xis,1
3648,bad,1
3649,parahhh,2
3650,hore,1
3651,boga,1
3652,teu,1
3653,ecreug,1
3654,siah,2
3655,paleleh,1
3656,buol,1
3657,biznetnetworks,1
3658,myrepublicid,1
3659,mncplayid,1
3660,cover,1
3661,dayeuhkolot,1
3662,bberapa,1
3663,woyla,1
3664,kilat,1
3665,piye,1
3666,iki,1
3667,gelisa,1
3668,gundah,1
3669,gulana,1
3670,malinau,2
3671,ijinkan,1
3672,gdnight,1
3673,baik,1
3674,betapa,1
3675,oon,1
3676,brp,2
3677,sklh,1
3678,kuli,1
3679,sejahtera,1
3680,palas,1
3681,kel,1
3682,agrowisata,1
3683,rumbai,1
3684,imi,1
3685,bedua,1
3686,protes,1
3687,simple,1
3688,garislucu,1
3689,infopln,2
3690,plnbengkulu,1
3691,sultan,1
3692,angin,1
3693,sambut,1
3694,hamal,1
3695,troble,1
3696,dech,1
3697,newnormal,1
3698,lemotparah,1
3699,telmikura,1
3700,manokwari,1
3701,sangattt,1
3702,burukkkk,1
3703,hmmm,1
3704,baterai,1
3705,nyamuk,1
3706,malas,1
3707,sihb,1
3708,ngan,1
3709,serah,1
3710,kecewaaa,1
3711,laba,1
3712,jagong,1
3713,jeget,1
3714,telkomselaceh,1
3715,dsni,1
3716,kaco,1
3717,jaringanya,1
3718,tnggl,1
3719,lereskeun,1
3720,datar,1
3721,otw,1
3722,pajak,1
3723,na,1
3724,ix,1
3725,labuhanbatu,2
3726,ikut,1
3727,ngalah,1
3728,dlu,2
3729,ayoo,1
3730,ngamuk,2
3731,ngerestart,1
3732,gub,1
3733,dki,1
3734,rangka,1
3735,alesan,1
3736,et,1
3737,three,2
3738,nurut,1
3739,opertr,1
3740,nlpon,1
3741,sijunjung,1
3742,bgsd,1
3743,bangkrut,1
3744,tukang,1
3745,knapa,5
3746,tba,1
3747,lembah,2
3748,masurai,1
3749,mabar,1
3750,cisauk,2
3751,cibogo,1
3752,takalar,1
3753,almost,1
3754,days,1
3755,need,1
3756,tertanggu,1
3757,materi,1
3758,cangkreng,1
3759,kwanyar,1
3760,bangkal,1
3761,palangkaraya,1
3762,tualang,1
3763,segara,1
3764,surem,1
3765,milih,1
3766,orong,1
3767,telu,1
3768,ntb,2
3769,tercover,3
3770,bangsad,1
3771,tmbah,1
3772,bkn,3
3773,sekale,1
3774,sajaaa,1
3775,belajarpaketelkomsel,2
3776,internetlancarbuatbelajar,2
3777,bunda,1
3778,desak,1
3779,riweeeh,1
3780,dihidupin,1
3781,jarang,1
3782,kemenkeuri,1
3783,gp,1
3784,nyebelin,1
3785,pengunaan,1
3786,ancuran,1
3787,kehed,1
3788,hupir,1
3789,woiiii,2
3790,we,1
3791,manutd,1
3792,kuya,1
3793,batok,1
3794,kmaren,2
3795,gabener,1
3796,checkoutnya,1
3797,shitttt,1
3798,bavuk,1
3799,tulang,1
3800,oaaalaaah,1
3801,nduukk,1
3802,salak,1
3803,sepeett,1
3804,vidcall,1
3805,neeh,1
3806,tolonglaa,1
3807,batre,1
3808,dishelter,1
3809,karo,1
3810,sumut,3
3811,umat,1
3812,komisi,1
3813,mitra,1
3814,lamaaaaa,1
3815,speednya,2
3816,selasa,1
3817,tolongin,1
3818,labu,1
3819,bajo,1
3820,diam,2
3821,baee,1
3822,linknya,1
3823,daftarin,1
3824,rekor,1
3825,muri,1
3826,ebijanta,1
3827,swasta,1
3828,indsat,1
3829,bilng,1
3830,karuan,1
3831,second,1
3832,yutub,1
3833,tanggung,1
3834,jadiin,1
3835,bntar,1
3836,report,1
3837,cma,1
3838,tutorial,1
3839,dahhh,1
3840,gusti,1
3841,amit,1
3842,for,1
3843,kyak,2
3844,ye,3
3845,gsm,2
3846,ditjendikti,1
3847,diamon,1
3848,jadiinn,1
3849,jrg,1
3850,ampon,1
3851,ehmm,1
3852,pulaaa,1
3853,oalah,1
3854,pun,1
3855,ccat,1
3856,ngezoom,1
3857,pgn,1
3858,tampol,1
3859,astagaaaa,1
3860,bkin,1
3861,yaaaaa,1
3862,yamasa,1
3863,seett,1
3864,kga,1
3865,send,1
3866,hhmmm,1
3867,rajelas,1
3868,og,1
3869,ra,1
3870,mendownload,1
3871,konyol,1
3872,alhasil,1
3873,ludes,1
3874,hufff,1
3875,mengecewkan,1
3876,ros,1
3877,juliana,1
3878,dirintisx,1
3879,brada,1
3880,dpulau,1
3881,mmupuskan,1
3882,smangat,1
3883,perempuan,1
3884,untk,1
3885,brdagang,1
3886,kisah,1
3887,sabang,1
3888,dagang,1
3889,ubjx,1
3890,icw,1
3891,jabung,1
3892,gedung,2
3893,ngerank,1
3894,bangetttttt,1
3895,cache,1
3896,sukabumi,1
3897,repeater,2
3898,aduanbrti,1
3899,mutar,1
3900,whyy,1
3901,loee,1
3902,sekaleeeee,1
3903,ketulungan,1
3904,lalot,1
3905,woiii,1
3906,klenn,1
3907,bagosii,1
3908,klen,2
3909,niii,1
3910,pening,1
3911,awk,1
3912,sma,1
3913,kemarenan,1
3914,wcdma,1
3915,wak,1
3916,trima,1
3917,telkomselpekanbaru,1
3918,andre,1
3919,rosiade,1
3920,dirut,1
3921,sembah,1
3922,elahhh,1
3923,sedihhh,1
3924,prioritaas,1
3925,samlekom,1
3926,tiktod,1
3927,disconnect,1
3928,noc,1
3929,uuuuuuuu,1
3930,masssss,1
3931,bd,1
3932,fate,1
3933,zero,1
3934,jol,1
3935,kontrol,1
3936,ngenet,1
3937,praktis,1
3938,situ,1
3939,nanyak,1
3940,oii,1
3941,siksa,1
3942,bgni,1
3943,mengalamai,1
3944,mundur,1
3945,low,1
3946,nasibb,2
3947,bangssst,1
3948,fiks,1
3949,rekomen,2
3950,diemin,1
3951,mala,1
3952,ngrunjak,1
3953,moon,1
3954,maap,1
3955,ngeruk,1
3956,nyangka,1
3957,old,1
3958,trick,1
3959,ngebagiin,1
3960,pantau,1
3961,lengang,1
3962,he,2
3963,watsapp,1
3964,ngetweetpakeaxis,1
3965,after,1
3966,indihoms,1
3967,bro,1
3968,jagan,1
3969,sombong,1
3970,kualiatas,1
3971,abal,2
3972,ngadi,1
3973,failed,1
3974,sia,1
3975,jingan,1
3976,mahalin,1
3977,bintaro,1
3978,betulin,1
3979,loe,1
3980,ssngat,1
3981,pusing,1
3982,aswkjqkquwjbh,1
3983,kdg,2
3984,nongol,2
3985,makas,1
3986,dispensasi,1
3987,mormalnua,1
3988,switch,1
3989,curang,1
3990,euy,1
3991,lurus,1
3992,insiden,1
3993,fasilitas,1
3994,sentra,1
3995,otomat,1
3996,naha,1
3997,janten,1
3998,awon,1
3999,anggo,1
4000,pesbukan,1
4001,ge,1
4002,ihh,1
4003,pangleresken,1
4004,kemren,1
4005,situs,1
4006,baja,1
4007,digunain,1
4008,ngapaiiiiiinnnnnn,1
4009,aj,1
4010,bandaro,1
4011,nenek,1
4012,tapung,1
4013,hulu,1
4014,jelekx,1
4015,jaringn,1
4016,kompetitorx,1
4017,telkomael,1
4018,hah,1
4019,beliau,1
4020,ngedrop,1
4021,gaakan,1
4022,cpt,1
4023,recovery,1
4024,internat,1
4025,ngingetin,1
4026,per,1
4027,toxic,1
4028,postif,1
4029,negtf,1
4030,muraah,1
4031,cobain,1
4032,ajaaaa,1
4033,mobel,1
4034,lejen,1
4035,pingnya,1
4036,ijo,1
4037,jaringannn,1
4038,bayangin,2
4039,dikhianatin,1
4040,cepetan,2
4041,gih,1
4042,se,5
4043,anjg,1
4044,kulon,1
4045,lari,1
4046,loveyouaxis,1
4047,gwstelkomsel,1
4048,cadang,1
4049,gercep,1
4050,thebest,1
4051,telkomselterbaik,1
4052,finally,1
4053,lembur,1
4054,kenapaaaaa,1
4055,lemes,1
4056,tb,1
4057,osjur,1
4058,tapiiii,1
4059,duka,1
4060,cita,1
4061,plazatelkom,1
4062,gemuruh,1
4063,rencana,1
4064,pukimak,1
4065,sumbagteng,1
4066,monopoli,1
4067,maha,1
4068,kuta,1
4069,parado,1
4070,bima,1
4071,slm,1
4072,mhn,2
4073,penguna,1
4074,naekin,1
4075,haber,1
4076,anjirr,1
4077,dilaporin,1
4078,heboh,2
4079,date,1
4080,masalahny,1
4081,bicara,3
4082,udara,1
4083,gengs,1
4084,libat,1
4085,mantep,1
4086,teroooosss,1
4087,peaaa,1
4088,topik,1
4089,nyendat,1
4090,perbaiakan,1
4091,innalilahi,1
4092,reg,1
4093,labuh,2
4094,hyper,1
4095,carry,1
4096,diriau,1
4097,laris,1
4098,rival,1
4099,mll,1
4100,gatau,1
4101,luh,2
4102,makan,1
4103,sgr,1
4104,tndkan,1
4105,tenggelem,1
4106,indiehome,1
4107,semuaaa,1
4108,lemooottt,1
4109,baku,1
4110,hantam,1
4111,manusia,1
4112,garagara,1
4113,naek,1
4114,sasak,1
4115,bah,1
4116,ltindak,1
4117,dirumahkuu,1
4118,manajemen,1
4119,pakam,1
4120,caretelkomsel,1
4121,hospot,1
4122,wey,1
4123,ungu,1
4124,ngutang,1
4125,ooohh,1
4126,plishhh,1
4127,hanyapanggilan,1
4128,apaaa,1
4129,like,1
4130,fighting,1
4131,sampek,1
4132,seulawah,1
4133,telkomseljagadatakami,1
4134,neh,1
4135,speedy,1
4136,smpai,1
4137,komfirmasi,1
4138,telsel,1
4139,perasaanya,1
4140,ngehubungi,1
4141,kolega,1
4142,partner,1
4143,that,1
4144,why,1
4145,plasa,1
4146,lekas,1
4147,adekku,1
4148,dharmasraya,1
4149,kbr,1
4150,inet,1
4151,sekitarny,1
4152,tselmedan,1
4153,ndeso,1
4154,apakabar,1
4155,tolonglaaah,1
4156,batam,2
4157,geger,1
4158,searching,1
4159,brayyyy,1
4160,gimane,1
4161,pemeliharan,1
4162,ghoib,1
4163,dead,1
4164,blankspot,1
4165,failure,1
4166,ngikut,1
4167,gsmnya,1
4168,kelen,1
4169,pangkal,1
4170,kerinci,1
4171,serching,1
4172,already,1
4173,sucks,1
4174,ngilangin,1
4175,kreativitas,1
4176,sastra,1
4177,tae,1
4178,tuntut,1
4179,boikot,1
4180,masal,1
4181,hmm,1
4182,hotstar,3
4183,rajabasa,1
4184,ratu,1
4185,sugnal,1
4186,namorambe,1
4187,tnya,1
4188,pkrt,1
4189,blasan,1
4190,wakatobi,1
4191,isolasi,1
4192,rs,1
4193,banyak,1
4194,umur,2
4195,ladang,1
4196,telkomselnya,1
4197,protokol,1
4198,kesehatanya,1
4199,kejap,1
4200,maketin,1
4201,apknya,1
4202,registasi,1
4203,spt,1
4204,vo,1
4205,skr,1
4206,rasuk,1
4207,kad,1
4208,sukoharjo,1
4209,pringsewu,1
4210,sendat,1
4211,swadaya,1
4212,gopartner,1
4213,adakami,1
4214,shopeepay,2
4215,bgm,1
4216,belum,1
4217,nganu,1
4218,chef,1
4219,renatta,1
